25,125,11,1500,48.0,48.0
25,100,12,2000,80.0,80.0
25,75,14,1725,92.0,92.0
25,50,15,1000,80.0,80.0
25,25,16,300,48.0,48.0
50,250,22,6250,50.0,50.0
50,200,25,8000,80.0,80.0
50,150,28,6750,90.0,90.0
50,100,30,4000,80.0,80.0
50,50,33,1250,50.0,50.0
75,375,34,14250,50.66666666666667,50.66666666666667
75,300,38,18000,80.0,80.0
75,225,41,15300,90.66666666666666,90.66666666666666
75,150,45,9000,80.0,80.0
75,75,49,2850,50.66666666666667,50.66666666666667
100,500,45,25000,50.0,50.0
100,400,50,32000,80.0,80.0
100,300,55,27000,90.0,90.0
100,200,60,16000,80.0,80.0
100,100,65,5000,50.0,50.0
